x,y,z
349.91871004957915,270.2147205273379,a
358.9008739157491,285.2292340857805,a
372.0148436095432,274.36721881749895,a
364.3922745867155,259.78302303336324,a
325.2029404247968,284.3079320000312,a
380.18619121283336,327.3380986162258,a
378.85693074215567,267.7058603209153,a
389.35074681595984,279.5510697946929,a
332.6886013957771,319.35194786530155,a
331.20801144211146,306.6983733671099,a
399.3858445401603,313.22960309577627,a
353.37435234584177,290.9886306964894,a
343.11638444719966,282.4880954490279,a
356.77465300725476,298.288643826118,a
396.0884920658335,273.164682483373,a
377.3945894860537,224.79317430681982,a
371.04921089671126,252.27428993741455,a
438.05230597928863,268.60402851845316,a
389.3655618486895,271.1537085853764,a
387.76379495012867,264.4105627641457,a
430.2484677026617,288.0343304553545,a
361.49568319923776,265.86551005665063,a
383.96965823046116,293.8016020782661,a
372.0113065588613,276.4082064773314,a
384.4684325929859,279.9292221289524,a
423.1553598548821,246.3872824271476,a
426.4276432641697,242.21861610184976,a
404.7974538377099,317.76694607442727,a
424.1825879692819,258.77749026048843,a
459.29921556523755,275.38709160401555,a
466.208793192601,226.57813801226035,a
379.8999107435612,277.3801050944965,a
401.2642547606331,298.00526534989865,a
448.8716460576928,261.9583393606666,a
429.36747300991635,271.0224882765167,a
400.114052251783,261.42358032933146,a
459.6906726481432,257.0499520239621,a
427.9257343702452,244.56207736802747,a
402.8374708664017,252.4320721468478,a
456.37442590492975,238.06383773847097,a
457.01982204979413,236.98472914194036,a
419.78790380306475,222.22621821716172,a
372.79469555045466,276.7648230966043,a
444.8215997272335,223.22244623123004,a
394.04469377705607,222.4877289375944,a
426.65195943710364,254.37686186152334,a
413.97905298218586,265.978432318949,a
344.48402875694995,246.83600754923793,a
436.4773001390308,221.03875794708762,a
383.2864041551384,226.88066403700032,a
342.60812336511106,264.0843653388505,a
351.9141517112595,226.75275240982756,a
374.6526249164062,253.93863589795083,a
361.8001028971391,251.88149755386178,a
339.21725809070983,262.2247877777256,a
400.5595277718614,272.2386036867448,a
360.5551306025637,311.91316664810574,a
377.8382122579139,311.85986713901036,a
380.83026021349343,288.0542898935066,a
408.0756064063743,330.73136520503147,a
385.0409566685205,329.7695970012856,a
380.52811935527376,260.6251164127618,a
409.1109717322919,283.8082992287048,a
355.39499914573923,294.03259925664827,a
373.3809206479459,277.71458911718514,a
400.96783810659076,265.8654056942431,a
417.55562896074946,266.86934196236007,a
441.2997619904233,278.34395862554555,a
406.66976160091383,306.13516559766606,a
404.14939089314805,324.5556593024853,a
438.04674878063906,354.95773052372147,a
483.2335746634701,302.1476758494397,a
435.13659385654506,311.42782937807146,a
423.16509476277866,307.19508794997176,a
408.6408703338275,266.0012137343017,a
447.38246712619025,255.00121153713076,a
401.94649738913245,257.7486083360812,a
395.226190711696,254.66995412106618,a
441.42270713828236,330.9562824775437,a
434.19907609907295,268.44457312194305,a
415.67348405721316,316.11960197505596,a
461.1644185314936,357.6809415497745,a
440.61656446593156,299.7471144564159,a
432.4320876294999,295.82091504795153,a
434.8445758208308,288.3538118241935,a
479.0053662569072,322.4215320949098,a
457.35904440401765,294.8928655935913,a
410.2814857119928,310.1097134726546,a
436.16237270786195,318.4825146428436,a
429.01854895430097,311.198899697305,a
416.20489103997556,301.25565718799714,a
426.43318457351467,329.0953199857896,a
473.19738172740205,292.8997008002468,a
404.6591578340026,271.4548713126958,a
428.8031804390122,331.92450434973654,a
428.7453092631001,275.1649461573098,a
403.24694158073646,319.244609145179,a
458.1571123588585,302.36174339633294,a
506.5828244726831,270.14576008707,a
417.7371934030422,276.8849625671122,a
421.4093057679485,288.0857706869615,a
454.8725547970634,288.2031532974687,a
445.79758022643136,269.61669677628356,a
440.83823105126146,313.80076038766265,a
476.7543076803213,275.96763486156954,a
531.8242682395912,283.1115522141471,a
448.45142707179184,237.6796170509205,a
437.0174243748355,274.14107421431754,a
441.39002997972426,307.5030764370235,a
463.7307999995798,276.06347184706016,a
473.44746998410704,278.4638725336643,a
413.9656269414931,250.48553008467363,a
508.99616475773246,328.96521916372933,a
469.3389381303947,294.4344413724093,a
492.8833278702717,319.1373676844454,a
469.71233796488235,258.42757077581587,a
445.76995596178136,273.83779425403725,a
500.99461990345844,276.01781280824133,a
441.62180008268655,294.0406545921311,a
508.29877145115836,326.42428997755144,a
454.22204769232985,293.8248332192777,a
512.7438151100084,309.45848301292153,a
476.0769523262401,269.1957782866559,a
502.6872339548202,310.6118817595491,a
414.3251990226007,289.03699800523196,a
422.4481685190913,297.9464165025039,a
453.26301232195755,319.0913586901953,a
450.3820313303156,258.3956035687455,a
532.1721751050101,318.01372595567955,a
463.7758140938474,292.30394750067285,a
464.18730344805164,288.8477823406161,a
496.85023935658467,318.2471802665942,a
528.4821488598199,471.29983404078985,a
572.5293215594126,447.01052975064414,a
530.7017995690851,499.42315472679087,a
546.7526242249871,430.7125173672801,a
574.6485381527696,459.8427739388004,a
553.8039265912487,463.9211055437999,a
577.2683638874471,423.0529439529312,a
591.5098553765777,460.88430755469034,a
538.8559485703809,427.33190972269114,a
538.41292405488,439.82345319835474,a
575.8143239541596,404.17649893304014,a
542.8735700597739,433.22006057477745,a
586.483898706708,408.56828944021737,a
612.7138407154125,440.0506228691342,a
613.4923277731881,445.6350686893953,a
567.156299248596,478.9390192623286,a
536.0291315254899,463.0484812617203,a
609.7276778584924,424.5976505262986,a
600.3829153130915,448.38983006262686,a
546.9934794484997,444.56118899024557,a
554.0760631950689,447.7434781436115,a
574.9136852713305,410.36064353260576,a
634.7750707047095,402.4545876795565,a
553.2788606176684,420.42786960825686,a
615.946497871876,412.3405454621848,a
631.5190811941332,443.00803472192706,a
574.8605077706,413.1888328808039,a
619.5363599862743,437.43330035783066,a
569.5368797026373,429.02156791561436,a
624.9555769941416,429.486521266843,a
564.821717283794,441.9530201647138,a
610.136388265513,434.2527699265013,a
591.4098480535891,443.3876362302701,a
271.99103632877103,322.37289937401994,b
245.90388664599791,311.8062393981461,b
276.3156875640292,305.64799121294476,b
314.54869823210237,323.20623754616395,b
288.61819082714555,318.74203988470555,b
311.2386108852411,316.98859543396696,b
268.6735049259669,331.9019322039756,b
281.3293590557179,326.70840903165396,b
282.3788194583251,337.3225429318135,b
249.8464035393012,337.04711822734464,b
276.22689574559774,320.7704394294413,b
304.05670520192126,304.33691551405315,b
251.07359195856412,312.4581465008347,b
290.70135039172567,277.3049503802272,b
265.4395782769328,271.4225187177186,b
306.14955768897505,283.24841288510294,b
298.1116132712749,231.18054021845103,b
241.54586471782332,265.7435378719607,b
326.26243481164,246.66599432524959,b
256.84300416023603,247.68902777431708,b
295.98239678843015,216.6222325491824,b
285.42926060526787,239.59888655937294,b
286.4955851268267,315.6132114798408,b
253.50657282302333,272.522898528504,b
292.5034498818423,278.4992810232916,b
307.1243709251994,251.7562766323124,b
276.6875313084021,287.28264308217763,b
321.7180128889128,271.4995846624886,b
285.72506365869333,285.4704745136302,b
260.2297358783206,275.16169882941466,b
294.88712421766724,253.9028259638966,b
333.619310035813,265.58248082976445,b
262.02266794056794,230.70844079292903,b
310.21943397626256,259.17175148203785,b
270.8364952279396,242.81906751121556,b
282.5617632631151,243.64299010943597,b
299.61802039875766,223.22611205696984,b
258.99331536413126,208.04167676712666,b
284.50251086004783,241.5802367192092,b
258.61366383138756,230.29674405563458,b
277.7925682265826,222.56350262771866,b
290.1650062876079,190.9345131056026,b
282.7572200632824,209.06512401891484,b
295.2900495923834,215.21376527537473,b
264.55197598930766,179.93930400448107,b
290.55485600515834,194.4538631205997,b
264.9250220867591,221.77416938825735,b
296.087386176694,226.78809105906805,b
279.89611581985946,223.2142749240249,b
319.73270199840937,213.98350789429617,b
301.44819768684636,213.3839486236741,b
262.69294666539326,208.26634002837676,b
264.9724663934256,177.13507334069158,b
278.2999732041249,180.7187535838142,b
269.9260351035156,147.18464160101468,b
336.5095707118077,227.42611674919704,b
270.2887463598881,251.37899654899468,b
321.97460895332847,195.9973369110873,b
279.65778393443173,192.6234216213051,b
303.8274183846751,200.40024739646037,b
302.21495749546483,188.68107213556596,b
297.5986582323883,217.77650791166366,b
324.0875511818415,236.1615477840511,b
312.71282533450557,218.98291087054895,b
340.2522672711513,215.87822242827798,b
287.01788869231126,244.38711528115934,b
287.5161955024763,181.23384228877796,b
271.02392128350897,220.63937882348108,b
313.4531413747051,183.30940285703844,b
