x,y,z
158.266674222275,141.45825497679527,a
202.32624322006313,122.00863157177645,a
138.8805992372869,112.7220058548537,a
190.07510192165861,95.71775738166144,a
153.8381370813374,102.50049726286,a
190.9106729050047,54.302371967818715,a
206.9979012629315,151.6340294384982,a
198.14582770264283,125.69474042103968,a
135.67053449709985,134.32907286045003,a
170.78573685259744,129.14814454228178,a
191.37207731943639,176.8307905783969,a
212.54519190264557,124.86778669676613,a
234.47710174183644,169.5817396471582,a
229.54383169409405,146.17602877903596,a
218.05312356799803,228.3717133965659,a
263.1362994784308,158.96542646669468,a
237.65655893782937,142.59966231414296,a
276.4174811045309,163.74986056816954,a
283.047263175669,165.19650632980608,a
199.10488661220305,166.73378290915315,a
283.5879376720021,195.97365704600196,a
222.68008380266684,166.32167363826773,a
272.20110208374416,161.3979099768414,a
310.81624267181746,239.1682742555281,a
240.05949702522122,169.50960150807975,a
310.7840625411063,190.2595953491121,a
292.2276261483177,176.03764309558107,a
276.83772204087484,219.88735859980846,a
220.25036846818955,178.25788816442451,a
305.0891652529297,233.11544779876243,a
242.6382654375948,223.36547481575525,a
324.71413057939753,204.35602121211866,a
315.79922929632346,193.18098177097443,a
330.5467704173028,233.68250442886347,a
305.0111820201289,223.2389444622538,a
308.652182847933,213.25536221785438,a
288.34663514053887,269.5323013563044,a
352.50461397767094,252.2145135198909,a
337.75040706810233,230.46844360204528,a
362.40492145970705,219.60578171023803,a
341.7000259121751,224.92788260443677,a
314.87390076182845,224.52065109168717,a
293.7545613849344,246.30484052154358,a
327.38382221802937,259.90793232886074,a
314.0788302622602,236.30994669559698,a
351.76550684702545,266.90164816275086,a
353.34874151942455,294.71329584171656,a
363.63911028395336,269.10303807201376,a
328.70938145208623,254.0722059187259,a
367.2849149933578,246.58295566821334,a
327.52824350504955,281.0606915586538,a
357.3288694558725,280.0009943801904,a
380.6610456275314,261.4671247386548,a
406.5747680409851,307.6230328358048,a
396.8641838151756,308.08829828328766,a
366.1763734943759,296.24383698030397,a
363.5413767658876,318.3076239356516,a
401.1486031969546,330.21707518834205,a
382.3444439900046,280.0939220778016,a
407.34071743799507,266.33445325375067,a
352.1609356730976,300.8945264759418,a
426.6936337714323,285.4265597218939,a
406.27846400204993,292.68110729050994,a
420.05418566296856,267.16824727864537,a
421.66047248593435,277.41506664672954,a
367.6987046060282,286.6014527101567,a
403.35705308682293,299.98893336390387,a
481.13093930037155,257.9379693795238,a
404.80703219710887,218.06768307883988,a
449.2132477698061,261.61741943564846,a
460.05886358599946,294.9286025411743,a
485.2894101806514,295.8524538212023,a
441.108987577781,305.3328022237524,a
447.4815786173482,304.3361404243864,a
435.0744483566264,314.6537635014223,a
452.2642031794523,328.96771380582487,a
486.70347730781435,269.76727056877974,a
470.063524956106,360.0368883802775,a
491.670357575691,363.7023292065229,a
476.36833272617775,294.04079255850127,a
479.2721110732437,337.454053070206,a
487.7406580361817,308.48570905673876,a
485.1813223032248,342.61335215239353,a
512.2872351238709,333.1690774400929,a
505.5476096125789,347.78651476990007,a
526.7520414555282,316.218921838509,a
498.584892671971,379.4570717086752,a
478.588361217883,320.2331727458112,a
496.54066538253414,342.7236030351504,a
503.2576682644605,323.0557243952019,a
517.7226378722629,361.42103930163614,a
527.9670069472545,334.33787854515447,a
497.8625386062805,341.81228535610774,a
534.7743522731483,332.4455861529941,a
478.16381450736856,372.2204032417201,a
495.09364099365257,360.24008321398185,a
515.4242324789253,352.33952057997857,a
542.5688024935198,305.47603728157645,a
495.8778435768542,368.52685731439374,a
491.6364905260354,362.6914562504122,a
506.90907255249596,342.95093981169407,a
521.8734584991164,348.39365018819257,a
515.5413963750827,329.20903403555224,a
511.8333601587465,357.4379301829166,a
580.5468772773576,334.30916591819033,a
511.2005699284601,331.0191332065366,a
506.383051810422,309.1062903919425,a
531.7633992871514,325.16524174569804,a
530.8245919088433,311.18753753324063,a
494.2735011214975,334.5080969430427,a
512.5110694241604,376.1503513300902,a
554.6045567952046,322.3917949893838,a
575.910771324085,348.1188400563908,a
508.66097302979387,336.5780177254911,a
499.6613293489822,381.3574321526154,a
502.5173025984965,325.27975356484984,a
534.030184421794,366.7129278328938,a
561.7462722490335,335.732492158823,a
509.31238790351966,326.3677601599203,a
545.7631059375913,323.5051511445994,a
530.6038050396728,397.99111385338153,a
612.6047152624042,390.70113975995196,a
541.4798792741359,401.81847671850227,a
522.4145936510414,428.6750614354222,a
505.24724959059625,388.34279074335416,a
539.5042130785217,360.02804452595507,a
552.605886943112,367.7430763976967,a
527.0152965268204,368.3990647291532,a
574.5851999484139,388.7676811606908,a
567.4312633173018,410.7493533239263,a
538.2627051664283,408.0750157918747,a
542.0663680091177,421.76943569163825,a
564.3745518725761,327.26574979609865,a
559.1028493363609,407.6400704774454,a
558.8198876390044,397.43436705783137,a
569.0603391760764,334.23909318360927,a
543.7840390595338,376.59716892449103,a
523.6372383312292,395.84185381357184,a
528.7139200211432,381.38989373032035,a
524.3131718644823,404.2318725830245,a
580.1353568420517,386.03858734027926,a
577.8364920713653,370.76136857464854,a
531.5542265923078,394.83539316243076,a
558.6980226021067,425.69221217972756,a
294.9712760739823,94.12275271475693,a
298.0857824402944,172.04017089274305,a
278.377852025717,104.76930708858464,a
293.60231306563253,122.41680670338883,a
305.2507594376874,119.98762183523843,a
313.0386454595239,101.80486276331834,a
299.9914117639322,148.31690244694147,a
264.126874965841,111.9977094847971,a
262.5851731735264,125.58414992188528,a
307.30926145200397,145.81267728641438,a
238.5612236113546,157.45844322376757,a
300.85102773276367,116.08313442719776,a
292.1901935650415,201.356777614613,a
316.7219423213874,185.5992553399907,a
327.6658749294716,159.70227376822692,a
323.9299772508258,120.90847199129871,a
322.4440390909583,196.09478136862094,a
333.6319837407771,129.49409012126563,a
313.3273524011461,210.90379458555316,a
324.38556762158646,193.46471114900226,a
316.48020419357726,166.6857501479983,a
327.0799344680827,150.7827236271882,a
315.4354928386404,205.85899813321083,a
358.8146517019938,172.84636964447327,a
393.8130759938626,207.83187084120442,a
349.8175789442831,167.60199699598252,a
334.00021782925864,200.43388968348205,a
361.8063961060283,216.61279875205412,a
379.6732168991277,258.150475963914,a
364.5758436844083,167.39866824844313,a
347.97604287667974,237.20715445498604,a
347.0901917546258,192.30248440950584,a
406.887168530312,234.43760748156086,a
373.5878924917005,197.67559470124587,a
353.5416433430592,240.13601930716806,a
380.34046164786173,249.52226783289467,a
382.8757912533407,185.77577345927477,a
408.5268008055144,236.4382846521919,a
389.2510819321152,263.89815386642715,a
370.3458484694228,233.78785516727362,a
379.9461250308475,233.0326491265858,a
405.1797460915786,221.97552032991706,a
414.3948378942574,234.47109853602814,a
395.40345407687056,288.53822285279443,a
387.5619486060389,253.88893960930636,a
406.435428121665,309.7209215295877,a
417.97520671459847,259.1038833436487,a
443.38675987097764,221.90938433002935,a
422.6278045125692,227.58848371859614,a
427.55961395018977,304.79944609870955,a
433.12981616139854,263.9815313360617,a
405.45624047001854,253.32107334570082,a
463.1497147024534,247.06803781769725,a
446.06812522597977,265.00196919585966,a
458.4255253503496,292.78439695140196,a
463.0133357832568,320.9779150130595,a
438.8636549874448,282.88556543251656,a
491.08278273561086,310.22378421703274,a
493.05915240293723,319.2139131796515,a
495.8372150862265,335.37670544566527,a
498.8619716857772,312.5761955748859,a
496.2382783042245,295.75435746120377,a
498.682284770403,282.1939180755021,a
454.771357895297,336.6643457274288,a
506.2161382122409,323.6829030399141,a
492.29111182830195,313.7999634113107,a
518.6388060882095,343.74209257975167,a
571.614733845217,333.8295621903719,a
550.9419902979446,355.1482886950963,a
508.7349843931731,330.43157244765627,a
513.7111473235851,364.03462741841133,a
540.5469458284963,355.0641757461384,a
537.4511418988628,309.7034874242991,a
533.497881506056,321.51121377495326,a
557.2745939915882,348.5766036628635,a
570.5356369790084,311.13358604466725,a
482.91995145941644,310.28468948241584,a
526.9996188485092,309.8839780858482,a
523.8824221145666,360.49513787329875,a
513.0709018006211,334.3495943150117,a
488.6373508286781,351.6306587924571,a
235.62265713325309,188.5262007494277,a
190.488653008896,171.01585795457686,a
215.51479342815458,202.21966188515347,a
203.4993154321457,220.99497029783453,a
228.80539909490284,242.26256540427926,a
290.46989798259887,246.5998540570316,a
219.9244121110645,204.63193891821322,a
261.77080569137564,235.863194724111,a
283.7098895359403,245.5830550800934,a
265.026752094941,234.70492051119277,a
298.27384716413496,244.07562863230433,a
301.0180820882514,279.874102299322,a
291.6773585657147,279.138648775306,a
310.33974878372,238.54621909902272,a
333.4550321425059,300.2275851903157,a
290.7817237832917,257.1877191823857,a
316.0958273052396,272.9643799466911,a
304.2120677178763,381.90526106630307,a
399.95256886332356,313.37535380668385,a
384.7996560777427,313.3090232603379,a
364.09562138375463,326.1178208840332,a
367.6481674556414,351.9698131478709,a
404.79853703615976,341.52997841329307,a
418.416641730768,370.30441057142815,a
358.62157953258793,343.0669629196126,a
406.4725413995486,353.1459085511808,a
367.23430782329166,345.4595432382283,a
372.012288812356,359.1854372871971,a
409.1580466608932,315.13708060863945,a
385.8867156448758,340.114646108316,a
380.35342221695134,371.96027035727593,a
395.7579309545508,370.6388419310267,a
411.552028934818,296.83190575938215,a
415.054569643259,382.75199892814373,a
397.4069929959133,344.6613737722972,a
394.5825028104459,363.5588313522377,a
369.896902311487,341.22259853418245,a
393.9222549335953,353.54093081501475,a
452.6391874127622,380.6138147938776,a
417.9842668128026,364.3749243232564,a
428.43333660801176,368.13412603686197,a
418.79667283054357,340.9879602735711,a
410.80309640567174,361.2310255990012,a
452.4364791793691,340.0380252051174,a
424.77518005681947,368.3637342951266,a
420.5543957810302,372.4833435679445,a
397.81601284889837,376.56313064003155,a
404.74085820365264,332.326727225147,a
449.3709054712617,354.80807132449075,a
453.78700635927476,360.73407284283684,a
426.3789679989382,330.79105550738785,a
460.3461728421286,392.0355024713277,a
423.8847962683359,338.9639778118266,a
424.7815083603713,329.06704603585894,a
431.7039765557486,373.99262063570905,a
445.77801079218676,361.3198447833762,a
454.36855216910294,335.8153808380627,a
465.8376183719269,341.880557210403,a
468.7286366978291,352.1306464027488,a
439.9736765805544,363.3631194199462,a
434.7228163299966,433.4332606344848,a
423.12479779317874,340.17667005926734,a
477.8138140297596,367.712950665747,a
471.046866111053,378.97194913217004,a
481.63716368123846,330.1808493396078,a
474.13125263386576,398.8745745164149,a
457.9326297276574,370.81196161287596,a
466.48833764574147,342.9883392090265,a
424.54625836025866,347.0336017262581,a
450.5213481673325,366.4692301142495,a
463.7092576207138,389.25507046260225,a
469.55493617881575,305.5051225990039,a
462.33768409543114,373.80219650701014,a
476.04652496329754,320.44529789507806,a
429.2801156346093,403.51313816752327,a
139.64619462743727,291.36544880027145,b
114.76137016977694,302.08500414584205,b
170.0994949104537,280.1555846572003,b
140.97868937870396,286.43817507123725,b
158.95251840324937,277.29456351129534,b
227.65671521147272,283.0060380080397,b
147.16402840163533,332.8017601113165,b
147.87737092430692,347.5045637536607,b
168.46149360452506,322.7260025166704,b
126.02009438641407,316.8239197048864,b
181.38656965970762,308.6158365091279,b
174.0739382107203,372.1395737991985,b
155.0204685846065,315.05441367185205,b
175.71856969234597,362.81955112534297,b
172.12841891374734,357.78125688564114,b
126.824482828957,342.7008486622592,b
156.72794380925166,332.90205763138607,b
227.2302646226703,305.98865196345594,b
172.8516150040728,339.13618726009815,b
168.50873924896146,353.09575800585617,b
197.21452522262445,343.82925257075954,b
211.94875736525654,389.5948122359125,b
225.28324732474957,322.49051533891884,b
174.83472847343373,374.2260733168897,b
216.427590106127,333.2060445340219,b
199.21372151417577,340.26875510243514,b
190.20752205744154,369.55158825694974,b
183.7304218991299,323.99962877077417,b
171.0204494060651,367.89094501397005,b
188.1297625389589,367.17311236186515,b
201.61376444232766,330.6796503871631,b
202.61231278856465,407.98056081833073,b
214.73256904019823,347.58354538097944,b
188.8310228556618,357.2718005466529,b
208.69088937111275,369.1175385916365,b
221.64823195983553,354.0014830373035,b
228.85002127940143,351.13615679418103,b
254.0098592772418,361.29860892913695,b
230.3788799534606,322.6375719489216,b
247.63496595565312,331.61207485915065,b
232.0346647017826,346.08155490289005,b
217.8948164636645,368.6546250688949,b
247.91004001684715,381.3312305201799,b
254.0086825577284,359.6126425002643,b
258.65153668270574,353.6653422462739,b
254.20578393416795,399.77844137909665,b
269.1645778849586,401.96618284339,b
227.5841683598763,360.7209926973437,b
215.21336517801006,414.8721065098402,b
288.8849816830304,331.88479691349505,b
267.82652198056235,393.6917326213335,b
261.23385322385013,406.80055870493203,b
288.92842427154164,345.7798907219644,b
311.35624487489247,380.3083686457505,b
300.0267743877714,412.6221922861706,b
267.20980231360664,395.33006631271473,b
295.2637375172418,385.51615355793,b
247.1035113482734,416.67709503714076,b
279.17557831070707,394.171507527527,b
315.06581238434893,364.8657516197095,b
286.9664639214894,392.39185512753323,b
292.0250972046997,398.2322741699829,b
302.62561241591186,425.5601845495626,b
289.61117492625715,399.03281865937976,b
320.08703287182203,421.89107459789034,b
281.40563442029014,407.05821032745155,b
278.68865814920827,379.8582048552788,b
292.37394599053044,398.271403621177,b
310.37718768824817,389.3571608921274,b
308.2506636734776,383.47047730431416,b
326.0803047621636,410.1911870932595,b
343.4298566913326,466.30248384659257,b
336.3161088583111,371.43410216350736,b
361.1337993992979,410.7035046715364,b
317.7734172893732,378.4480361770151,b
317.20008490410487,414.61949879235465,b
297.41316499352115,413.3012129198841,b
335.26614320995503,419.7286536591007,b
297.22633359917023,397.44430861950406,b
304.7148177852169,437.5743126409939,b
325.413749036114,400.86858163719114,b
331.1420318426162,379.4182960846502,b
301.1934030703115,404.4277545594099,b
323.51891156784467,434.6330017043725,b
317.1682688681521,414.2890959620888,b
297.9871301254984,441.5802607680467,b
281.27746096702487,442.75128264105064,b
300.8914952288453,434.4064537631838,b
341.89914929955546,397.72210431713836,b
325.13625019457965,435.4258210886235,b
363.18547532036484,414.3003887766651,b
279.407642067721,376.42579870108017,b
341.54698321769564,408.58142802354837,b
343.4238661541662,385.02448912865884,b
346.71140229726876,432.6171105685106,b
251.44513242869292,416.6277521443416,b
323.73779320611976,383.79375702380344,b
384.7570318766269,428.81701668432146,b
259.2540388042576,432.98718037542994,b
340.47611390916603,433.2026731101581,b
364.66383979082343,427.09201868252995,b
336.5560645030832,127.99975953544686,b
390.55681334819707,110.76676801199739,b
328.69359545393354,91.15802910599723,b
376.7176055486757,107.47965788670018,b
373.3072587976155,69.28141027295987,b
341.86750025850125,73.60077885161326,b
369.8463781751557,43.21352446066453,b
391.44348668171517,119.64561267361921,b
426.51546611715304,136.09647487552917,b
401.65189589900064,124.5643646937063,b
383.7620671055372,106.67506154794006,b
418.20116753193037,86.78076166543593,b
364.36916419032474,90.7245099261882,b
461.41815445439954,131.4463114796323,b
403.6709819259493,80.56783499912166,b
397.09162729704167,135.86426029249952,b
407.20525165392786,149.16742377588776,b
437.28414803705573,102.58388763891344,b
426.9003554850414,113.1330398113243,b
446.29547805011055,154.2946492502752,b
428.29905848826274,94.8257943492568,b
435.85106059368115,132.27368714672832,b
420.04534946015065,162.53988055350322,b
432.459722947161,138.67347688149812,b
466.75784546675067,154.21758840598557,b
432.51995645351104,110.27598127239156,b
452.5257394119887,122.02642051514528,b
430.7499394113471,160.7750323961613,b
426.3990583866176,134.78430526554394,b
468.8471051074974,152.79998609229182,b
445.8009278356795,147.55121654621598,b
441.1311225896546,129.44056722695603,b
432.3044068208315,157.06175677207028,b
423.4916455620321,178.28342835790232,b
473.8427578011818,130.78531859188894,b
434.6397647524671,155.8894067840688,b
444.59602791550236,160.27750483750788,b
475.6740652501338,135.59594165685746,b
463.5160401669955,154.07233624506227,b
466.39636165282764,119.04742178009622,b
456.47568579550784,145.80176603364282,b
481.59928928313246,137.2969664054187,b
452.30488423565015,191.29257650233376,b
473.60969467217467,122.53884889192153,b
468.26028976125303,141.06550170367274,b
441.6779208882394,161.1120185973911,b
461.61008243253826,165.59362092966035,b
484.1100942674369,171.0058226697788,b
468.7823783020366,155.38119262633194,b
513.8725416322834,168.49381426193742,b
463.676603057685,168.18704181437465,b
515.5513024205227,122.57633273578614,b
557.2958200175711,181.95764927898404,b
450.92025129019464,191.58541320015195,b
507.6811661625284,195.93044855522027,b
492.91789096470353,187.82730756309098,b
533.179793618112,127.54336924536142,b
484.97296648170595,187.3280874353273,b
490.8090622966664,185.12557394459145,b
507.4611155032589,165.72753872451688,b
513.1598049989123,194.86007630804738,b
498.8916225182732,181.1584106732825,b
488.97316766630166,146.5409769035112,b
507.1602056351717,182.48598265887398,b
475.57871358392373,202.00413057827495,b
519.1646716629049,218.77992958119694,b
503.65508584457217,180.348473915204,b
558.7821075300479,202.9545503945023,b
482.2404625463279,203.37937058745018,b
547.7651067830275,162.68073672549315,b
557.9242201352175,194.05564379391825,b
519.1217748943872,177.56787114677292,b
489.6471662060799,182.0405755821157,b
482.39129975923265,200.9729812983366,b
564.2395441521544,148.99203208395153,b
505.22384524057173,218.53179304251114,b
518.3947507529926,206.14968401824308,b
545.1544797181369,220.352806576626,b
523.2532298714003,210.05448598751337,b
559.1708897440263,220.36654559491961,b
502.9777546202877,216.25053482090965,b
491.9663239304259,214.54190136691426,b
559.2895013672628,221.485226623963,b
519.6457826867594,206.95844622130642,b
535.8825818221202,185.54982449333517,b
534.6650019655685,233.4849396763858,b
514.5753907083119,199.65393641834595,b
593.3546131622926,183.24735668285263,b
561.0649764680364,162.37019607105339,b
539.9711895083078,179.86447580091044,b
554.3102925113461,168.62495633186137,b
501.2902644621907,173.41052678371568,b
557.6376894230837,228.83051489406284,b
516.5564799749438,183.72919939530493,b
539.7763940582669,214.2208363247804,b
556.5863526619191,207.69370415580698,b
503.1241996724153,189.15834412450806,b
517.5095087403313,223.58729012541346,b
541.424060674003,178.61208198491852,b
540.9770947433915,168.96386545180906,b
530.5241455154169,203.2757399748579,b
523.6095905866331,203.41107996508435,b
526.8984771008852,171.7771922676742,b
552.3077579898674,237.62123701790364,b
531.2379327378538,186.4552375994669,b
504.3415411053876,207.37956300390357,b
492.0275652079933,261.1456024531501,b
563.1508094186332,179.8034343463895,b
539.0727621323621,176.71088683397244,b
